Date,maxAT,meanAT,minAT,meanRH,maxRH,minRH,meanDP,meanLW,meanSM,meanST,meanRF,Foci,meanAT_5d,meanRH_5d,meanLW_5d,meanDP_5d,meanSM_5d,meanST_5d,meanRF_5d,temp_humidity_5d,leafwet_humidity_5d,dewpoint_diff_5d,Foci_lag1
2008-04-24,28.2,21.27,15.38,71.2,92.54,42.74,15.51,3.06,31.350000000000005,18.89,0.04,1.5,,,,,,,,,,,
2008-04-25,27.320000000000004,20.97,14.74,75.75,95.2,47.56,16.12,3.24,35.74,19.41,0.04,1.1666666666666667,,,,,,,,,,,1.5
2008-04-26,25.76,18.84,11.800000000000002,75.15,97.92,43.16,13.87,4.16,41.81,19.06,0.04,0.0,,,,,,,,,,,1.1666666666666667
2008-04-27,23.5,16.97,9.82,72.04,97.44,38.42,11.378,3.56,49.38,18.57,0.05000000000000001,0.0,,,,,,,,,,,0.0
2008-04-28,22.600000000000005,15.44,7.36,66.16,97.48,30.12,8.672,3.27,58.54999999999999,18.08,0.06,0.16666666666666666,,,,,,,,,,,0.0
2008-04-29,22.8,14.68,5.5,57.669999999999995,91.92,20.98,6.214000000000001,2.38,69.16,17.54,0.03,0.0,18.698,72.06,3.4579999999999997,13.11,43.366,18.802,0.046,1347.37788,249.18348,5.588000000000001,0.16666666666666666
2008-04-30,23.58,15.24,6.78,53.38,86.09999999999998,20.92,5.916,2.2,81.42,17.15,0.03,0.0,17.380000000000003,69.35400000000001,3.322,11.250800000000002,50.928000000000004,18.532,0.044,1205.3725200000003,230.39398800000004,6.129200000000001,0.0
2008-05-01,25.3,17.41,10.0,53.28,82.46,23.88,8.066,1.27,93.25,17.65,0.06,0.0,16.234,64.88000000000001,3.114,9.209999999999999,60.064,18.080000000000002,0.041999999999999996,1053.2619200000004,202.03632000000002,7.024000000000003,0.0
2008-05-02,26.84,18.6,11.199999999999998,49.19,81.16,19.86,8.438,1.14,84.9,17.92,0.15,0.0,15.947999999999999,60.50599999999999,2.536,8.0492,70.352,17.798,0.046,964.9496879999998,153.44321599999998,7.898799999999998,0.0
2008-05-03,25.98,18.36,12.12,47.4,79.62,20.12,7.84,0.33,72.74,17.79,0.13,0.0,16.274,55.936,2.052,7.461200000000001,77.456,17.668,0.06599999999999999,910.3024640000001,114.780672,8.8128,0.0
