Date,Damage,Foci,,,,,,
2021-06-23,1062.105,,,,,,,
2021-06-23,466.29,,,,,,,
2021-06-29,690.8,,,,,,,
2021-06-29,317.925,,,,,,,
2021-06-29,962.41,,,,,,,
2021-06-29,127.955,,,,,,,
2021-06-29,817.185,,,,,,,
2021-06-29,949.065,,,,,,,
2021-06-29,733.975,,,,,,,
2021-06-29,465.505,,,,,,,
2021-07-02,255.91,,,,,,,
2021-07-02,154.645,,,,,,,
2021-07-02,559.705,,,,,,,
2021-07-02,105.975,,,,,,,
2021-07-02,426.255,,,,,,,
2021-07-02,424.685,,,,,,,
2021-07-02,384.65,,,,,,,
2021-07-02,106.76,,,,,,,
2021-07-06,1208.9,,,,,,,
2021-07-06,1317.23,,,,,,,
2021-07-06,2989.28,,,,,,,
2021-07-06,262.975,,,,,,,
2021-07-06,2917.06,,,,,,,
2021-07-06,3710.695,,,,,,,
2021-07-06,1618.67,,,,,,,
2021-07-06,1106.065,,,,,,,
2021-07-09,528.776,,,,,,,
2021-07-09,620.15,,,,,,,
2021-07-09,1727.785,,,,,,,
2021-07-09,496.905,,,,,,,
2021-07-09,1346.275,,,,,,,
2021-07-09,2428.79,,,,,,,
2021-07-09,890.19,,,,,,,
2021-07-09,446.665,,,,,,,
2021-07-13,1657.92,,,,,,,
2021-07-13,1336.855,,,,,,,
2021-07-13,6667.005,,,,,,,
2021-07-13,831.315,,,,,,,
2021-07-13,3427.31,,,,,,,
2021-07-13,5927.535,,,,,,,
2021-07-13,5162.945,,,,,,,
2021-07-13,2252.95,,,,,,,
2021-07-16,7090.905,,,,,,,
2021-07-16,6043.715,,,,,,,
2021-07-16,17427.79,,,,,,,
2021-07-16,2719.24,,,,,,,
2021-07-16,10235.62,,,,,,,
2021-07-16,9116.99,,,,,,,
2021-07-16,15171.7,,,,,,,
2021-07-16,5866.305,,,,,,,
2021-07-20,7723.615,,,,,,,
2021-07-20,5449.47,,,,,,,
2021-07-20,16973.27,,,,,,,
2021-07-20,3255.395,,,,,,,
2021-07-20,13162.1,,,,,,,
2021-07-20,9865.095,,,,,,,
2021-07-20,13383.47,,,,,,,
2021-07-20,4315.93,,,,,,,
2021-07-28,24219.61,,,,,,,
2021-07-28,22016.9,,,,,,,
2021-07-28,50742.4,,,,,,,
2021-07-28,9002.38,,,,,,,
2021-07-28,42525.02,,,,,,,
2021-07-28,34090.2,,,,,,,
2021-07-28,37362.86,,,,,,,
2021-07-28,25347.65,,,,,,,
2021-08-03,33163.11,,,,,,,
2021-08-03,23472.29,,,,,,,
2021-08-03,54241.15,,,,,,,
2021-08-03,7919.08,,,,,,,
2021-08-03,43520.4,,,,,,,
2021-08-03,40248.52,,,,,,,
2021-08-03,39090.65,,,,,,,
2021-08-03,28205.84,,,,,,,
2021-08-10,41856.2,,,,,,,
2021-08-10,34069.79,,,,,,,
2021-08-10,62268.56,,,,,,,
2021-08-10,12041.9,,,,,,,
2021-08-10,61505.54,,,,,,,
2021-08-10,57283.81,,,,,,,
2021-08-10,59091.66,,,,,,,
2021-08-10,34319.42,,,,,,,
2021-08-17,50952.78,,,,,,,
2021-08-17,36710.53,,,,,,,
2021-08-17,68545.42,,,,,,,
2021-08-17,14816.88,,,,,,,
2021-08-17,75221.06,,,,,,,
2021-08-17,74446.26,,,,,,,
2021-08-17,50948.07,,,,,,,
2021-08-17,41727.46,,,,,,,
2021-08-24,122732.4,,,,,,,
2021-08-24,102714.9,,,,,,,
2021-08-24,157398,,,,,,,
2021-08-24,40876.52,,,,,,,
2021-08-24,153849,,,,,,,
2021-08-24,174139.7,,,,,,,
2021-08-24,128947.2,,,,,,,
2021-08-24,184511.9,,,,,,,
2021-09-04,94769.91,,,,,,,
2021-09-04,72113.24,,,,,,,
2021-09-04,118699.1,,,,,,,
2021-09-04,58005.22,,,,,,,
2021-09-04,120528.9,,,,,,,
2021-09-04,22475.34,,,,,,,
2021-09-04,16252.64,,,,,,,
2021-09-04,86687.55,,,,,,,
2022-05-19,0,,,,,,,
2022-05-19,0,,,,,,,
2022-05-19,0,,,,,,,
2022-05-19,0,,,,,,,
2022-05-19,0,,,,,,,
2022-05-19,0,,,,,,,
2022-05-19,0,,,,,,,
2022-05-19,0,,,,,,,
2022-05-19,0,,,,,,,
2022-05-19,0,,,,,,,
2022-05-19,0,,,,,,,
2022-05-19,0,,,,,,,
2022-05-21,0,,,,,,,
2022-05-21,0,,,,,,,
2022-05-21,0,,,,,,,
2022-05-21,0,,,,,,,
2022-05-21,0,,,,,,,
2022-05-21,0,,,,,,,
2022-05-21,0,,,,,,,
2022-05-21,0,,,,,,,
2022-05-21,186.83,,,,,,,
2022-05-21,94.985,,,,,,,
2022-05-21,0,,,,,,,
2022-05-21,164.85,,,,,,,
2022-05-23,0,,,,,,,
2022-05-23,0,,,,,,,
2022-05-23,0,,,,,,,
2022-05-23,0,,,,,,,
2022-05-23,0,,,,,,,
2022-05-23,0,,,,,,,
2022-05-23,0,,,,,,,
2022-05-23,0,,,,,,,
2022-05-23,397.995,,,,,,,
2022-05-23,146.795,,,,,,,
2022-05-23,78.5,,,,,,,
2022-05-23,389.36,,,,,,,
2022-05-25,0,,,,,,,
2022-05-25,0,,,,,,,
2022-05-25,0,,,,,,,
2022-05-25,0,,,,,,,
2022-05-25,0,,,,,,,
2022-05-25,0,,,,,,,
2022-05-25,0,,,,,,,
2022-05-25,0,,,,,,,
2022-05-25,308.505,,,,,,,
2022-05-25,164.85,,,,,,,
2022-05-25,251.2,,,,,,,
2022-05-25,475.71,,,,,,,
2022-05-27,0,,,,,,,
2022-05-27,0,,,,,,,
2022-05-27,0,,,,,,,
2022-05-27,0,,,,,,,
2022-05-27,0,,,,,,,
2022-05-27,0,,,,,,,
2022-05-27,0,,,,,,,
2022-05-27,0,,,,,,,
2022-05-27,215.875,,,,,,,
2022-05-27,164.85,,,,,,,
2022-05-27,245.705,,,,,,,
2022-05-27,273.18,,,,,,,
2022-05-29,0,,,,,,,
2022-05-29,NULL,,,,,,,
2022-05-29,0,,,,,,,
2022-05-29,0,,,,,,,
2022-05-29,0,,,,,,,
2022-05-29,0,,,,,,,
2022-05-29,0,,,,,,,
2022-05-29,0,,,,,,,
2022-05-29,321.065,,,,,,,
2022-05-29,300.655,,,,,,,
2022-05-29,296.73,,,,,,,
2022-05-29,833.67,,,,,,,
2022-05-31,0,,,,,,,
2022-05-31,78.5,,,,,,,
2022-05-31,0,,,,,,,
2022-05-31,0,,,,,,,
2022-05-31,0,,,,,,,
2022-05-31,0,,,,,,,
2022-05-31,0,,,,,,,
2022-05-31,0,,,,,,,
2022-05-31,562.845,,,,,,,
2022-05-31,673.53,,,,,,,
2022-05-31,492.98,,,,,,,
2022-05-31,1464.025,,,,,,,
2022-06-02,0,,,,,,,
2022-06-02,104.405,,,,,,,
2022-06-02,0,,,,,,,
2022-06-02,12,,,,,,,
2022-06-02,0,,,,,,,
2022-06-02,0,,,,,,,
2022-06-02,0,,,,,,,
2022-06-02,0,,,,,,,
2022-06-02,366.595,,,,,,,
2022-06-02,302.225,,,,,,,
2022-06-02,646.84,,,,,,,
2022-06-02,1433.41,,,,,,,
2022-06-04,0,,,,,,,
2022-06-04,96.555,,,,,,,
2022-06-04,14,,,,,,,
