Date,Damage,Foci,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2020-05-26,76.0,0.43010752688172044,,,,,,
2020-05-26,47.885,0.27099603848330506,,,,,,
2020-05-26,115.0,0.6508205998868138,,,,,,
2020-05-26,134.0,0.758347481607244,,,,,,
2020-05-26,0.0,0.0,,,,,,
2020-05-26,0.0,0.0,,,,,,
2020-05-26,297.0,1.6808149405772497,,,,,,
2020-05-26,104.0,0.588568194680249,,,,,,
2020-05-27,105.975,0.5997453310696095,,,,,,
2020-05-27,67.51,0.3820599886813809,,,,,,
2020-05-27,104.405,0.5908602150537635,,,,,,
2020-05-27,173.485,0.9818053197509905,,,,,,
2020-05-27,124.03,0.7019241652518393,,,,,,
2020-05-27,39.25,0.22212790039615168,,,,,,
2020-05-27,327.345,1.852546689303905,,,,,,
2020-05-27,67.51,0.3820599886813809,,,,,,
2020-05-28,145.225,0.8218732314657612,,,,,,
2020-05-28,87.135,0.49312393887945677,,,,,,
2020-05-28,106.76,0.6041878890775326,,,,,,
2020-05-28,203.315,1.1506225240520658,,,,,,
2020-05-28,154.645,0.8751839275608377,,,,,,
2020-05-28,19.625,0.11106395019807584,,,,,,
2020-05-28,328.13,1.8569892473118281,,,,,,
2020-05-28,39.25,0.22212790039615168,,,,,,
2020-05-29,154.645,0.8751839275608377,,,,,,
2020-05-29,98.125,0.5553197509903792,,,,,,
2020-05-29,106.76,0.6041878890775326,,,,,,
2020-05-29,193.11,1.0928692699490663,,,,,,
2020-05-29,240.995,1.3638653084323713,,,,,,
2020-05-29,117.75,0.666383701188455,,,,,,
2020-05-29,387.005,2.1901810979060556,,,,,,
2020-05-29,78.5,0.44425580079230337,,,,,,
2020-06-01,577.76,3.2697226938313526,,,,,,
2020-06-01,433.32,2.4522920203735143,,,,,,
2020-06-01,600.525,3.3985568760611207,,,,,,
2020-06-01,619.365,3.5051782682512735,,,,,,
2020-06-01,1091.935,6.17959818902094,,,,,,
2020-06-01,533.015,3.01649688737974,,,,,,
2020-06-01,1075.45,6.086304470854556,,,,,,
2020-06-01,484.345,2.7410582908885117,,,,,,
2020-06-03,451.375,2.554470854555744,,,,,,
2020-06-03,270.825,1.5326825127334465,,,,,,
2020-06-03,463.935,2.6255517826825128,,,,,,
2020-06-03,559.705,3.167543859649123,,,,,,
2020-06-03,574.62,3.2519524617996605,,,,,,
2020-06-03,291.235,1.6481890209394456,,,,,,
2020-06-03,818.755,4.633588002263724,,,,,,
2020-06-03,291.235,1.6481890209394456,,,,,,
2020-06-05,860.36,4.869043576683645,,,,,,
2020-06-05,774.01,4.380362195812111,,,,,,
2020-06-05,910.6,5.15336728919072,,,,,,
2020-06-05,1778.81,10.066836445953594,,,,,,
2020-06-05,1654.78,9.364912280701756,,,,,,
2020-06-05,1073.095,6.072976796830787,,,,,,
2020-06-05,1882.43,10.653254102999435,,,,,,
2020-06-05,902.75,5.108941709111488,,,,,,
2020-06-07,3267.17,18.489926428975668,,,,,,
2020-06-07,2059.055,11.652829654782117,,,,,,
2020-06-07,2519.065,14.256168647425016,,,,,,
2020-06-07,4734.335,26.793067345783815,,,,,,
2020-06-07,2608.555,14.76262026032824,,,,,,
2020-06-07,1902.055,10.764318053197512,,,,,,
2020-06-07,5352.915,30.293803056027166,,,,,,
2020-06-07,1548.805,8.765166949632146,,,,,,
2020-06-09,2223.12,12.58132427843803,,,,,,
2020-06-09,1854.955,10.497764572722128,,,,,,
2020-06-09,3510.52,19.867119411431805,,,,,,
2020-06-09,7311.49,41.377985285795134,,,,,,
2020-06-09,3959.54,22.40826259196378,,,,,,
2020-06-09,2172.095,12.292558007923033,,,,,,
2020-06-09,4667.61,26.415449915110358,,,,,,
2020-06-09,2492.375,14.105121675155631,,,,,,
2020-06-12,2582.65,14.616015846066782,,,,,,
2020-06-12,2183.085,12.354753820033958,,,,,,
2020-06-12,3485.4,19.72495755517827,,,,,,
2020-06-12,5029.495,28.463469156762876,,,,,,
2020-06-12,3324.475,18.814233163554047,,,,,,
2020-06-12,2743.575,15.526740237691001,,,,,,
2020-06-12,6486.455,36.708856819468025,,,,,,
2020-06-12,2498.655,14.140662139219017,,,,,,
2020-06-16,18913.79,107.03899264289758,,,,,,
2020-06-16,13246.875,74.96816638370119,,,,,,
2020-06-16,23440.885,132.6592246745897,,,,,,
2020-06-16,31465.155,178.07105263157897,,,,,,
2020-06-16,14834.93,83.9554612337295,,,,,,
2020-06-16,12411.635,70.24128466327109,,,,,,
2020-06-16,27883.985,157.8041029994341,,,,,,
2020-06-16,19248.2,108.93152235427279,,,,,,
2020-06-23,43219.745,244.59391624221848,,,,,,
2020-06-23,33855.48,191.59864176570463,,,,,,
2020-06-23,57003.56,322.600792303339,,,,,,
2020-06-23,92258.695,522.1205149971704,,,,,,
2020-06-23,38596.88,218.4316921335597,,,,,,
2020-06-23,28836.975,163.19736842105263,,,,,,
2020-06-23,59101.865,334.47574985851725,,,,,,
2020-06-23,50024.125,283.10200905489535,,,,,,
2020-07-01,136168.455,770.6194397283531,,,,,,
2020-07-01,116793.87,660.9726655348047,,,,,,
2020-07-01,160512.875,908.3920486700623,,,,,,
2020-07-01,167435.79,947.5709677419356,,,,,,
2020-07-01,134307.22,760.0861346915677,,,,,,
2020-07-01,125413.17,709.7519524617996,,,,,,
2020-07-01,137699.99,779.286870401811,,,,,,
2020-07-01,119411.06,675.7841539332202,,,,,,
2020-07-08,208642.01,1180.7697226938315,,,,,,
2020-07-08,246581.06,1395.4785512167516,,,,,,
